query	novelty
tree_202_k3_s5_exp	16.1930510262409
tree_3_k5_s4_uniform	0.32466305428473696
tree_11_k10_s3_exp	14.080717748416449
tree_1_k3_s2_exp	0.0005970496068424343
tree_10_k10_s3_uniform	7.779119426007275
tree_13_k5_s2_exp	25.732586176141098
tree_15_k5_s2_uniform	21.689836439971316
tree_15_k10_s1_uniform	16.682043993821242
tree_1322_k5_s5_exp	9.391059102992484
tree_16_k5_s3_uniform	13.531460938469369
tree_2_k3_s5_uniform	0.14824579850870112
tree_7_k3_s5_exp	13.635399352537162
tree_1_k3_s4_uniform	0.14936441858633448
tree_3_k10_s4_uniform	0.256898359821104
tree_2_k10_s3_exp	0.02406751719464358
tree_17_k3_s2_uniform	16.96045297315173
tree_15_k5_s5_exp	15.924610646412152
tree_14_k3_s3_uniform	13.196568906298983
tree_12_k5_s3_uniform	19.823047814956528
tree_15_k5_s4_exp	14.903349543590432
tree_8_k5_s3_uniform	5.4088627680816295
tree_11_k5_s2_uniform	16.896696678656284
tree_203_k5_s5_uniform	19.430998319128356
tree_2_k10_s2_exp	0.2975456252375374
tree_7_k5_s4_uniform	13.921854889978025
tree_11_k10_s2_uniform	16.091281284037457
tree_217_k5_s4_uniform	15.313350866995124
tree_7_k3_s4_exp	10.76375387975235
tree_1068_k5_s1_uniform	13.540184403210365
tree_4_k5_s5_uniform	20.772475058545552
tree_202_k3_s4_uniform	16.7828598059695
tree_10_k3_s3_uniform	6.069696637144166
tree_1322_k5_s4_exp	8.01249283292696
tree_2_k10_s5_uniform	0.6934977554767052
tree_1322_k3_s2_uniform	8.898890324653202
tree_13_k3_s2_uniform	35.135861358396944
tree_13_k5_s3_exp	23.39746680520326
tree_9_k3_s2_uniform	10.562954075408086
tree_12_k3_s1_exp	23.069467523445926
tree_1_k3_s3_exp	0.005752952410273212
tree_11_k10_s2_exp	16.168577056741846
tree_5_k3_s4_uniform	14.37024487918297
tree_202_k3_s4_exp	17.270333279429273
tree_6_k3_s5_uniform	12.479493163409922
tree_12_k10_s1_uniform	14.307542277461732
tree_203_k5_s4_exp	14.64663093630815
tree_202_k10_s5_exp	11.603634298971313
tree_1_k3_s1_exp	2.975640840097406
tree_17_k10_s3_uniform	16.97272785252447
tree_12_k3_s3_exp	16.280525824034257
tree_13_k5_s1_exp	24.591525955848425
tree_7_k10_s5_exp	12.181410418957158
tree_6_k5_s4_exp	12.795215824790192
tree_4_k10_s4_uniform	12.25912715798224
tree_2_k5_s1_uniform	0.11267321384032536
tree_217_k5_s4_exp	14.903349543590432
tree_14_k3_s4_exp	10.793385482301122
tree_14_k3_s5_exp	15.937719597447165
tree_16_k10_s2_uniform	13.127003703962295
tree_217_k5_s5_exp	15.924610646412152
tree_1068_k3_s5_uniform	16.204783208575346
tree_4_k3_s1_uniform	14.368856824957874
tree_2_k10_s1_exp	0.2856230849848931
tree_217_k10_s1_uniform	16.682043993821242
tree_202_k10_s1_uniform	14.371250885026265
tree_14_k10_s4_exp	14.19121496970754
tree_6_k5_s5_exp	11.86296926740715
tree_203_k3_s1_uniform	20.1370030015843
tree_7_k10_s4_exp	12.716875231508649
tree_6_k5_s1_uniform	14.764548255184675
tree_12_k3_s2_exp	11.15246627660231
tree_11_k10_s1_exp	14.645595886967476
