1068	10	1	exp	G000012725	0.188159	0.13851	0.2620566784876065
1068	10	1	exp	G000013885	0.184837	0.18715	0.2511666784876065
1068	10	1	exp	G000014825	0.166715	0.25701	0.22859326487068662
1068	10	1	exp	G000195775	0.173988	0.25295	0.23621232058096456
1068	10	1	exp	G000218565	0.188152	0.17239	0.2748060661520822
1068	10	1	exp	G000239815	0.188214	0.00131	0.2282478939887734
1068	10	1	exp	G000284375	0.162311	0.32364	0.21123255534707788
1068	10	1	exp	G000314675	0.180296	0.21039	0.25469660351089257
1068	10	1	exp	G000314735	0.185095	0.1572	0.2767260661520822
1068	10	1	exp	G000333455	0.184932	0.00597	0.24616232058096463
1068	10	1	exp	G000336555	0.185681	0.17247	0.2567707893676437
1068	10	1	exp	G000472385		0.2303518238444521
1068	10	1	exp	G000472425	0.179627	0.22133	0.22976182384445207
1068	10	1	exp	G000472865	0.186582	0.05623	0.20592921341227555
1068	10	1	exp	G000473125	0.176214	0.0783	0.21616906701935992
1068	10	1	exp	G000504425	0.175822	0.19773	0.24748326487068664
1068	10	1	exp	G000701345	0.177498	0.23228	0.2227891609965762
1068	10	1	exp	G000935205	0.175983	0.29358	0.23274367180789032
1068	10	1	exp	G000938305	0.160725	0.29247	0.1991681917349454
1068	10	1	exp	G001295845	0.168337	0.27255	0.22764218846241618
1068	10	1	exp	G001425835	0.18714	0.1998	0.2551122627644038
1068	10	1	exp	G001440475	0.203476	0.01849	0.20521797662370608
1068	10	1	exp	G001693385	0.170228	0.30088	0.20838797662370612
1068	10	1	exp	G001908185	0.167671	0.29897	0.21597524745163935
1068	10	1	exp	G900011245	0.168182	0.28405	0.2227048504593115
1068	10	1	exp	G900104755	0.167634	0.29961	0.2074341402805903
1068	10	1	exp	G900108575	0.186212	0.22053	0.2511879254341975
1068	10	1	uniform	G000012725	0.187487	0.14986	0.2632889023280017
1068	10	1	uniform	G000013885	0.183772	0.19539	0.25239890232800166
1068	10	1	uniform	G000014825	0.166296	0.27698	0.22893771743440428
1068	10	1	uniform	G000195775	0.171699	0.27369	0.2355422624271195
1068	10	1	uniform	G000218565	0.187376	0.18043	0.27594115243539735
1068	10	1	uniform	G000239815	0.188149	0.00152	0.22803466128839303
1068	10	1	uniform	G000284375	0.160526	0.35742	0.20829553165516013
1068	10	1	uniform	G000314675	0.179745	0.22466	0.2556147898961546
1068	10	1	uniform	G000314735	0.1845	0.16475	0.2778611524353974
1068	10	1	uniform	G000333455	0.185159	0.0069	0.24549226242711955
1068	10	1	uniform	G000336555	0.185006	0.18955	0.2577164004521299
1068	10	1	uniform	G000472385		0.23148940821898958
1068	10	1	uniform	G000472425	0.179244	0.24495	0.2308994082189896
1068	10	1	uniform	G000472865	0.187569	0.0578	0.20955994632616845
1068	10	1	uniform	G000473125	0.171959	0.09678	0.21333952809281082
