PYGAD	0.1521196569422271
FULGL	0.152144324603961
EGRGA	0.17658855206453583
PELCR	0.1620485539991358
NIPNI	0.15889719990594584
GAVST	0.159888570034201
PHALE	0.17610778524614004
EURHE	0.21174916378504008
CATAU	0.1450227354578545
HALAL	0.1587464848338745
HALLE	0.1586065808244945
TYTAL	0.1808841428560634
LEPDI	0.18203943598563116
BUCRH	0.2186166187619612
PICPU	0.2661046360998612
MERNU	0.22569144635486116
APAVI	0.2211371160644512
CARCR	0.16788628456332097
FALPE	0.1894629916930248
TAEGU	0.220033107004772
CORBR	0.19814922861367848
ACACH	0.20773789595013614
MELUN	0.2250754983377305
NESNO	0.2086101204234305
OPHHO	0.18988904008570828
CHAVO	0.17599511758392827
BALRE	0.17288518633792832
TAUER	0.18789083884556007
CHLUN	0.19025260323096008
CUCCA	0.22715080700205004
CALAN	0.2448700503790247
CAPCA	0.18704405593561424
PHORU	0.1545509742275408
COLLI	0.21280580749735512
PTEGU	0.19083922888083513
MESUN	0.20631314812713514
ANAPL	0.28614147317664357
GALGA	0.33805658332854355
MELGA	0.3439380502084436
STRCA	0.3045643100319436
TINMA	0.38479778844204354
