G000705335	G000705335	0	0	10000/10000
G000757825	G000705335	0.223483	2.24837e-161	46/10000
G001654915	G000705335	0.224525	4.79822e-157	45/10000
G000262305	G000705335	0.215885	6.226e-195	54/10000
G000248015	G000705335	0.236445	1.08156e-119	35/10000
G000463155	G000705335	0.222464	7.71437e-167	47/10000
G000982825	G000705335	0.222464	9.11045e-166	47/10000
G000621185	G000705335	0.220489	1.53383e-173	49/10000
G000759795	G000705335	0.22668	8.62815e-151	43/10000
G000300455	G000705335	0.224525	2.02374e-157	45/10000
G001022135	G000705335	0.215885	3.49968e-190	54/10000
G000016325	G000705335	0.228939	2.30946e-142	41/10000
G000735515	G000705335	0.224525	3.08525e-157	45/10000
G000025565	G000705335	0.218593	1.82042e-179	51/10000
G000694955	G000705335	0.221466	2.39226e-169	48/10000
G000164865	G000705335	0.217673	4.01639e-185	52/10000
G000757785	G000705335	0.233808	1.15624e-125	37/10000
G000735455	G000705335	0.22668	9.52744e-150	43/10000
G001297765	G000705335	0.22559	3.60217e-154	44/10000
G001571285	G000705335	0.22559	3.02337e-153	44/10000
G000735365	G000705335	0.22559	1.80947e-153	44/10000
G000215745	G000705335	0.228939	3.05958e-141	41/10000
G000240185	G000705335	0.22668	2.926e-148	43/10000
G000247895	G000705335	0.223483	8.5842e-160	46/10000
G001022195	G000705335	0.23782	1.70951e-112	34/10000
G000195995	G000705335	0.217673	2.27563e-184	52/10000
G000648515	G000705335	0.215885	9.61145e-192	54/10000
G001558935	G000705335	0.218593	1.54603e-180	51/10000
G001187865	G000705335	0.236445	3.77371e-120	35/10000
G000302695	G000705335	0.22559	3.88603e-154	44/10000
G000705335	G000757825	0.223483	2.24837e-161	46/10000
G000757825	G000757825	0	0	10000/10000
G001654915	G000757825	0.193877	0	86/10000
G000262305	G000757825	0.207842	1.28875e-236	64/10000
G000248015	G000757825	0.205675	9.26492e-248	67/10000
G000463155	G000757825	0.184014	0	106/10000
G000982825	G000757825	0.190183	0	93/10000
G000621185	G000757825	0.193877	0	86/10000
