G000771775	G000771775	0
G000772395	G000771775	0.0226014
G000771955	G000771775	0.0262852
G000772295	G000771775	0.0237689
G000771805	G000771775	0.0251526
G001678465	G000771775	0.0298605
G000771785	G000771775	0.0294517
G000771795	G000771775	0.0275478
G000209675	G000771775	0.0245415
G000772365	G000771775	0.0227764
G000376645	G000771775	0.245371
G000238795	G000771775	0.258493
G000015885	G000771775	0.260703
G000007945	G000771775	0.270747
G000347595	G000771775	0.248764
G001652405	G000771775	0.26546
G000521765	G000771775	0.240698
G001038205	G000771775	0.247037
G000021885	G000771775	0.263022
G000444545	G000771775	0.26546
G000172375	G000771775	0.279978
G000444565	G000771775	0.26803
G000444645	G000771775	0.26803
G000444685	G000771775	0.273629
G000688835	G000771775	0.260703
G000444705	G000771775	0.26546
G002015085	G000771775	0.258493
G000444605	G000771775	0.26546
G001938355	G000771775	0.263022
G001611775	G000771775	0.258493
G000754275	G000771775	0.260703
G000019405	G000771775	0.247037
G000827595	G000771775	0.276697
G000221945	G000771775	0.184912
G000969305	G000771775	0.200976
G000442905	G000771775	0.192791
G000348525	G000771775	0.192791
G000017245	G000771775	0.283502
G000262245	G000771775	0.279978
G900110905	G000771775	0.270747
G000007745	G000771775	0.270747
G001594265	G000771775	0.270747
G001262035	G000771775	0.26546
G001055885	G000771775	0.263022
G000261285	G000771775	0.270747
G001679325	G000771775	0.26803
G000259485	G000771775	0.26803
G000379905	G000771775	0.283502
G000027305	G000771775	0.273629
G001276545	G000771775	0.287309
G000968335	G000771775	0.279978
G001007605	G000771775	0.283502
G000772535	G000771775	0.270747
G000771775	G000772395	0.0226014
G000772395	G000772395	0
G000771955	G000772395	0.0229085
G000772295	G000772395	0.0235416
G000771805	G000772395	0.0244007
G001678465	G000772395	0.0285971
G000771785	G000772395	0.0278663
G000771795	G000772395	0.0263524
G000209675	G000772395	0.0233388
G000772365	G000772395	0.0233537
G000376645	G000772395	0.260703
G000238795	G000772395	0.227796
G000015885	G000772395	0.258493
G000007945	G000772395	0.273629
G000347595	G000772395	0.273629
G001652405	G000772395	0.26803
G000521765	G000772395	0.273629
G001038205	G000772395	0.254359
G000021885	G000772395	0.263022
G000444545	G000772395	0.26546
G000172375	G000772395	0.283502
G000444565	G000772395	0.26546
G000444645	G000772395	0.270747
G000444685	G000772395	0.270747
G000688835	G000772395	0.260703
G000444705	G000772395	0.26803
G002015085	G000772395	0.254359
G000444605	G000772395	0.260703
G001938355	G000772395	0.254359
G001611775	G000772395	0.250557
G000754275	G000772395	0.263022
G000019405	G000772395	0.258493
G000827595	G000772395	0.243761
G000221945	G000772395	0.191731
G000969305	G000772395	0.193877
G000442905	G000772395	0.184912
G000348525	G000772395	0.184912
G000017245	G000772395	0.276697
G000262245	G000772395	0.276697
G900110905	G000772395	0.263022
G000007745	G000772395	0.260703
G001594265	G000772395	0.263022
G001262035	G000772395	0.273629
G001055885	G000772395	0.26803
G000261285	G000772395	0.270747
G001679325	G000772395	0.26546
G000259485	G000772395	0.26546
G000379905	G000772395	0.279978
G000027305	G000772395	0.26803
G001276545	G000772395	0.287309
G000968335	G000772395	0.287309
G001007605	G000772395	0.291447
G000772535	G000772395	0.273629
G000771775	G000771955	0.0262852
G000772395	G000771955	0.0229085
G000771955	G000771955	0
G000772295	G000771955	0.0256718
G000771805	G000771955	0.0248889
G001678465	G000771955	0.0295652
G000771785	G000771955	0.0285971
G000771795	G000771955	0.0277331
G000209675	G000771955	0.0228717
G000772365	G000771955	0.0252411
G000376645	G000771955	0.263022
G000238795	G000771955	0.260703
G000015885	G000771955	0.260703
G000007945	G000771955	0.270747
G000347595	G000771955	0.263022
G001652405	G000771955	0.273629
G000521765	G000771955	0.263022
G001038205	G000771955	0.242205
G000021885	G000771955	0.26546
G000444545	G000771955	0.26803
G000172375	G000771955	0.287309
G000444565	G000771955	0.258493
G000444645	G000771955	0.276697
G000444685	G000771955	0.276697
G000688835	G000771955	0.254359
G000444705	G000771955	0.26803
G002015085	G000771955	0.256381
G000444605	G000771955	0.258493
G001938355	G000771955	0.256381
G001611775	G000771955	0.25242
G000754275	G000771955	0.263022
G000019405	G000771955	0.243761
G000827595	G000771955	0.287309
G000221945	G000771955	0.172288
G000969305	G000771955	0.174771
G000442905	G000771955	0.175506
G000348525	G000771955	0.175506
G000017245	G000771955	0.279978
G000262245	G000771955	0.283502
G900110905	G000771955	0.26546
G000007745	G000771955	0.26546
G001594265	G000771955	0.273629
G001262035	G000771955	0.273629
G001055885	G000771955	0.26803
G000261285	G000771955	0.279978
G001679325	G000771955	0.270747
G000259485	G000771955	0.270747
G000379905	G000771955	0.279978
G000027305	G000771955	0.276697
G001276545	G000771955	0.291447
G000968335	G000771955	0.295981
G001007605	G000771955	0.300994
G000772535	G000771955	0.287309
G000771775	G000772295	0.0237689
G000772395	G000772295	0.0235416
G000771955	G000772295	0.0256718
G000772295	G000772295	0
G000771805	G000772295	0.0237917
G001678465	G000772295	0.0279465
G000771785	G000772295	0.0271896
G000771795	G000772295	0.0253299
G000209675	G000772295	0.0243851
G000772365	G000772295	0.0250404
G000376645	G000772295	0.256381
G000238795	G000772295	0.231311
G000015885	G000772295	0.263022
G000007945	G000772295	0.276697
G000347595	G000772295	0.273629
G001652405	G000772295	0.276697
G000521765	G000772295	0.270747
G001038205	G000772295	0.242205
G000021885	G000772295	0.26546
G000444545	G000772295	0.270747
