#FeatureID	ESTIMATED
G000015005	0.0279459
G000214155	0.0337051
G000230895	0.0217617
G000230935	0.0239306
G000234585	0.01357
G000328565	0.0261141
G000455165	0.0354929
G000455325	0.023872
G000559085	0.0206773
G000612825	0.0270227
G000613185	0.0346576
G000805385	0.0209997
G000972925	0.0497663
G001005175	0.0327086
G001021505	0.0650947
G001044235	0.0843506
G001044245	0.041721
G001049355	0.0445493
G001291445	0.0190507
G001307545	0.0171017
G001426545	0.0319612
G001428895	0.0399332
G001494595	0.0207946
G001499855	0.0265244
G001499915	0.0243116
G001570425	0.0241064
G001583415	0.0534152
G001655245	0.0619147
G001673105	0.0529463
