REF_ID	ESTIMATED_DISTANCE	PORTION_MAPPED	TRUE_DISTANCE
G001418585	0.174306	0.42216	0.2068515647818453
G001418655	0.175018	0.41424	0.19889888491926971
G001419695	0.177767	0.34011	0.2205002439386587
G001419745	0.182844	0.37115	0.2094902061361483
G001429805	0.23473	0.00775	0.26255603391005566
G001493375	0.200567	0.25691	0.25631421617241623
G001509795	0.173245	0.38503	0.1964352608672162
G001511815	0.179766	0.41945	0.20169402925251362
G001513975	0.168403	0.41457	0.1995531799961811
G001514045	0.174784	0.41024	0.20746156478184533
G001611795	0.175627	0.40812	0.20282024393865872
G001625365	0.198435	0.32744	0.25156603391005566
G001646665	0.18285	0.37884	0.20802926994254164
G001654495	0.181194	0.38354	0.20498402925251363
G001660045	0.176739	0.39894	0.21004024393865872
G001693675	0.186666	0.34813	0.23786926994254165
G001729485	0.190402	0.34381	0.21584617186056604
G001746425	0.187516	0.34723	0.22537926994254162
G001750785	0.186716	0.34851	0.22210926994254165
G001751375	0.197249	0.28123	0.26097421617241623
G001888885	0.196102	0.32458	0.26225603391005564
G001905365	0.175997	0.3907	0.2042402851071798
G900090125	0.200145	0.26182	0.26029421617241616
G900142575	0.198044	0.32292	0.24559878569880927
