MUS	0.21654137497901685
RAT	0.22194030725880587
DIP	0.1985656107604624
SPE	0.1602692427022864
OCH	0.1919429672409116
TUP	0.17389188675350936
MIC	0.12878173334563595
TAR	0.1493613624018242
CAL	0.122525259881981
PON	0.10798393650988256
GOR	0.1063283804300493
PAN	0.10696919059875203
TUR	0.16103184780833352
BOS	0.18853714246393502
SUS	0.18263177381247717
VIC	0.17188036546021154
FEL	0.15253879895777994
EQU	0.15119437593842305
MYO	0.17406527875427077
PTE	0.15530160402193272
ERI	0.21589058352732476
SOR	0.23414025484049034
LOX	0.14130376231668434
ECH	0.22087725661302568
DAS	0.17300403103375112
CHO	0.16393457643324783
MAC	0.3282906364989183
MON	0.34379232264166737
ORN	0.48721301201346146
